Date,Open,High,Low,Close,Volume
Mar 29 2017,143.68,144.49,143.19,144.12,29189955
Mar 28 2017,140.91,144.04,140.62,143.80,33374805
Mar 27 2017,139.39,141.22,138.62,140.88,23575094
Mar 24 2017,141.50,141.74,140.35,140.64,22395563
Mar 23 2017,141.26,141.58,140.61,140.92,20346301
Mar 22 2017,139.84,141.60,139.76,141.42,25860165
Mar 21 2017,142.11,142.80,139.73,139.84,39529912
Mar 20 2017,140.40,141.50,140.23,141.46,21542038
Mar 17 2017,141.00,141.00,139.89,139.99,43884952
Mar 16 2017,140.72,141.02,140.26,140.69,19231998
Mar 15 2017,139.41,140.75,139.02,140.46,25691774
Mar 14 2017,139.30,139.65,138.84,138.99,15309065
Mar 13 2017,138.85,139.43,138.82,139.20,17421717
Mar 10 2017,139.25,139.36,138.64,139.14,19612801
Mar 9 2017,138.74,138.79,137.05,138.68,22155904
Mar 8 2017,138.95,139.80,138.82,139.00,18707236
Mar 7 2017,139.06,139.98,138.79,139.52,17446297
Mar 6 2017,139.36,139.77,138.60,139.34,21750044
Mar 3 2017,138.78,139.83,138.59,139.78,21571121
Mar 2 2017,140.00,140.28,138.76,138.96,26210984
Mar 1 2017,137.89,140.15,137.60,139.79,36414585
Feb 28 2017,137.08,137.44,136.70,136.99,23482860
Feb 27 2017,137.14,137.44,136.28,136.93,20257426
Feb 24 2017,135.91,136.66,135.28,136.66,21776585
Feb 23 2017,137.38,137.48,136.30,136.53,20788186
Feb 22 2017,136.43,137.12,136.11,137.11,20836932
Feb 21 2017,136.23,136.75,135.98,136.70,24507156
Feb 17 2017,135.10,135.83,135.10,135.72,22198197
Feb 16 2017,135.67,135.90,134.84,135.34,22584555
